房屋总价,房屋单价,小区名称,所在区域,房屋户型,户型结构,所在楼层,套内面积,房屋朝向,装修情况,配备电梯,建筑面积,建筑类型,楼层高度,建筑结构,梯户比例,挂牌时间,上次交易,房屋年限,抵押信息,房源核验码,交易权属,房屋用途,产权所属,房本备件
57万,7447,鉴山墅,都江堰都江堰,2室2厅1卫,平层,高楼层 (共12层)咨询楼层,暂无咨询套内面积,东南,其他,,76.55㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,暂无数据,2025年04月18日,2024年04月25日,未满两年,无抵押,20251537947,商品房,普通住宅,非共有,已上传房本照片
139.8万,15715,城投东庐,成华万年场,3室2厅2卫,平层,中楼层 (共27层)咨询楼层,暂无咨询套内面积,西,简装,有,88.96㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月17日,2021年01月27日,满两年,有抵押,20251552438,限价商品房,普通住宅,非共有,已上传房本照片
116万,12758,贵通御苑雙楠城,双流蛟龙港,3室2厅2卫,平层,低楼层 (共16层)咨询楼层,暂无咨询套内面积,南,精装,有,90.93㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月17日,2020年03月31日,满五年,有抵押 26万元,20251552057,商品房,普通住宅,非共有,已上传房本照片
76万,9818,肖家河北街88号,高新衣冠庙,2室1厅1卫,平层,中楼层 (共7层)咨询楼层,暂无咨询套内面积,西南,其他,,77.41㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,暂无数据,2025年04月17日,2010年03月24日,满五年,无抵押,20251551930,已购公房,普通住宅,非共有,已上传房本照片
195万,26143,南山御峯,武侯丽都,2室1厅1卫,平层,中楼层 (共18层)咨询楼层,暂无咨询套内面积,西南,毛坯,有,74.59㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯五户,2025年04月17日,2024年07月19日,未满两年,无抵押,20251552267,商品房,普通住宅,非共有,已上传房本照片
65万,7676,八二一小区,新都新都城区,2室2厅1卫,平层,中楼层 (共18层)咨询楼层,暂无咨询套内面积,北,其他,,84.69㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月17日,2025年04月17日,未满两年,暂无数据,20251552341,商品房,普通住宅,共有,已上传房本照片
125万,16998,优品道珑苑,新都大丰,3室2厅1卫,平层,中楼层 (共32层)咨询楼层,暂无咨询套内面积,南,其他,有,73.54㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月17日,2019年11月16日,满五年,有抵押 业主自还,20251552546,商品房,普通住宅,共有,已上传房本照片
46.6万,5375,三和人家,崇州崇州城区,2室1厅1卫,平层,中楼层 (共6层)咨询楼层,暂无咨询套内面积,东南,其他,,86.7㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月17日,2010年01月12日,满五年,无抵押,20251550520,商品房,普通住宅,共有,已上传房本照片
255万,18259,复地御香山3悦,天府新区锦江生态带,4室2厅2卫,平层,中楼层 (共33层)咨询楼层,暂无咨询套内面积,南 北,其他,有,139.66㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月16日,2020年03月17日,满五年,无抵押,20230422892,商品房,普通住宅,非共有,已上传房本照片
63万,13723,水木光华,青羊西南财大,1室0厅1卫,平层,中楼层 (共11层)咨询楼层,暂无咨询套内面积,东,精装,有,45.91㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯四十一户,2025年04月16日,2021年04月13日,满两年,无抵押,20251550156,商品房,普通住宅,非共有,已上传房本照片
255万,17511,金林俊景,武侯五大花园,3室2厅2卫,平层,低楼层 (共14层)咨询楼层,暂无咨询套内面积,北 南,精装,有,145.63㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯两户,2025年04月16日,2022年06月22日,满两年,无抵押,20251550027,商品房,普通住宅,共有,已上传房本照片
138万,19476,中海右岸,双流华府,2室1厅1卫,平层,低楼层 (共33层)咨询楼层,暂无咨询套内面积,北,精装,有,70.86㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月16日,2022年02月23日,满两年,有抵押 95万元 银行 客户偿还,20251549608,商品房,普通住宅,非共有,已上传房本照片
79万,15266,锦江城市花园一期,锦江三圣乡,2室1厅1卫,平层,高楼层 (共34层)咨询楼层,42.22㎡,南,简装,有,51.75㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯八户,2025年04月16日,2014年12月05日,满五年,无抵押,20251552239,商品房,普通住宅,非共有,已上传房本照片
126万,16343,天鹅湖北苑,高新新会展,2室2厅1卫,平层,中楼层 (共31层)咨询楼层,57.24㎡,南,简装,有,77.1㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,三梯九户,2025年04月16日,2008年11月26日,满五年,无抵押,20251552479,商品房,普通住宅,非共有,已上传房本照片
64万,7316,丽水印象,都江堰都江堰,3室2厅1卫,平层,高楼层 (共11层)咨询楼层,暂无咨询套内面积,西南,简装,有,87.49㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,一梯三户,2025年04月16日,2017年03月17日,满五年,无抵押,20251550095,商品房,普通住宅,共有,已上传房本照片
408万,34819,天悦府,高新大源,3室1厅2卫,平层,中楼层 (共31层)咨询楼层,暂无咨询套内面积,南,精装,有,117.18㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯五户,2025年04月16日,2016年06月30日,满五年,无抵押,20251549293,商品房,普通住宅,共有,已上传房本照片
48万,5841,昕苑,简阳城西片区,2室1厅1卫,平层,高楼层 (共28层)咨询楼层,暂无咨询套内面积,东 东南 南,精装,有,82.19㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯七户,2025年04月16日,2019年03月22日,满五年,无抵押,20251550114,商品房,普通住宅,共有,已上传房本照片
142万,18028,雄飞新园紫郡,高新市一医院,2室1厅1卫,平层,高楼层 (共17层)咨询楼层,62.58㎡,东南,其他,有,78.77㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯五户,2025年04月16日,2016年11月18日,满五年,暂无数据,20251549113,商品房,普通住宅,共有,已上传房本照片
89万,9576,招商依云上城四期,龙泉驿西河,3室1厅1卫,平层,低楼层 (共40层)咨询楼层,暂无咨询套内面积,北,其他,有,92.95㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯六户,2025年04月16日,2024年06月07日,未满两年,有抵押 22万元 广发银行 业主自还,20251549442,商品房,普通住宅,非共有,已上传房本照片
272万,19098,华都美林湾,锦江三圣乡,3室2厅2卫,平层,高楼层 (共28层)咨询楼层,暂无咨询套内面积,东南 西北,毛坯,有,142.43㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯四户,2025年04月16日,2010年12月30日,满五年,有抵押 9万元 业主自还,20251549822,商品房,普通住宅,非共有,已上传房本照片
135万,27356,财富中心,锦江盐市口,1室1厅1卫,平层,高楼层 (共30层)咨询楼层,暂无咨询套内面积,东南,其他,有,49.35㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,六梯六十九户,2025年04月16日,2008年01月09日,满五年,无抵押,20251551777,商品房,普通住宅,非共有,已上传房本照片
210万,14131,中南樾府,金牛天回镇,4室2厅2卫,平层,高楼层 (共11层)咨询楼层,暂无咨询套内面积,南,毛坯,,148.61㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月16日,2023年12月30日,未满两年,有抵押,20251550971,商品房,普通住宅,共有,已上传房本照片
91.6万,9865,阳光西里,都江堰都江堰,3室1厅2卫,平层,高楼层 (共6层)咨询楼层,暂无咨询套内面积,东 东南 南 西南,其他,有,92.86㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,一梯三户,2025年04月16日,2019年12月20日,满五年,无抵押,20251549449,商品房,普通住宅,共有,已上传房本照片
105万,11415,蜀镇观澜湖,双流蛟龙港,3室2厅1卫,平层,中楼层 (共12层)咨询楼层,暂无咨询套内面积,南,其他,有,91.99㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月16日,2018年10月18日,满五年,无抵押,20251549504,商品房,普通住宅,非共有,已上传房本照片
145万,30508,财富中心,锦江盐市口,2室1厅1卫,平层,中楼层 (共30层)咨询楼层,暂无咨询套内面积,西南,精装,有,47.53㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,六梯六十九户,2025年04月16日,2017年04月06日,满五年,有抵押 102万元 金融公司垫资,20251552815,商品房,普通住宅,非共有,已上传房本照片
150万,16938,千禧河畔C区,温江花都大道,3室2厅2卫,平层,高楼层 (共33层)咨询楼层,暂无咨询套内面积,南,其他,有,88.56㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月16日,2018年08月27日,满五年,有抵押 96万元 兴业银行 金融公司垫资,20251548415,商品房,普通住宅,非共有,已上传房本照片
95万,10615,东润豪庭一期,成华龙潭寺,2室2厅1卫,平层,高楼层 (共15层)咨询楼层,71.88㎡,北,精装,有,89.5㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯五户,2025年04月16日,2021年01月26日,满两年,无抵押,20251548606,商品房,普通住宅,共有,已上传房本照片
108万,12047,常青藤二期,新都大丰,3室2厅1卫,平层,低楼层 (共26层)咨询楼层,暂无咨询套内面积,西,精装,有,89.65㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯五户,2025年04月16日,2025年01月01日,未满两年,有抵押 31万元 业主自还,20251548700,商品房,普通住宅,非共有,已上传房本照片
137万,10684,玉双苑(成华),成华猛追湾,3室2厅2卫,平层,中楼层 (共7层)咨询楼层,暂无咨询套内面积,南,简装,,128.23㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月16日,2023年04月07日,满两年,无抵押,20251537878,商品房,普通住宅,非共有,已上传房本照片
102万,11999,青龙鹭苑,成华驷马桥,2室2厅1卫,平层,低楼层 (共18层)咨询楼层,78㎡,西北,其他,有,85.01㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月16日,2025年03月18日,未满两年,无抵押,20251548316,拆迁安置房,普通住宅,非共有,已上传房本照片
155万,19395,新加坡花园,武侯桐梓林,2室2厅1卫,平层,高楼层 (共11层)咨询楼层,暂无咨询套内面积,北,精装,有,79.92㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,一梯四户,2025年04月16日,2009年02月25日,满五年,有抵押 89万元 大连银行成都分行 业主自还,20251547419,商品房,普通住宅,非共有,已上传房本照片
93.8万,8489,隆腾公元壹号,崇州崇州城区,3室2厅2卫,平层,高楼层 (共32层)咨询楼层,暂无咨询套内面积,东,精装,,110.5㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月16日,2019年09月06日,满五年,有抵押 26万元 农业银行,20251518217,商品房,普通住宅,共有,已上传房本照片
79万,11515,天合凯旋港,金牛花牌坊,1室1厅1卫,平层,中楼层 (共24层)咨询楼层,暂无咨询套内面积,南 北,简装,有,68.61㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,四梯十九户,2025年04月16日,2025年04月16日,未满两年,无抵押,20251552854,商品房,普通住宅,非共有,已上传房本照片
260万,18961,锦蓉佳苑,锦江三圣乡,4室1厅2卫,平层,低楼层 (共30层)咨询楼层,暂无咨询套内面积,东南,简装,有,137.13㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯五户,2025年04月16日,2019年04月11日,满五年,无抵押,20251548099,商品房,普通住宅,非共有,已上传房本照片
146万,14724,融创天府逸家三期,龙泉驿大面,3室1厅2卫,平层,低楼层 (共41层)咨询楼层,暂无咨询套内面积,东,精装,有,99.16㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯六户,2025年04月16日,2023年01月01日,满两年,有抵押 60万元 中国银行双流银行 客户偿还,20251549237,商品房,普通住宅,非共有,已上传房本照片
128万,8907,桃园柳岸,郫都区郫县城区,3室2厅2卫,平层,低楼层 (共6层)咨询楼层,127.98㎡,西南,精装,,143.71㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,砖混结构,暂无数据,2025年04月16日,2010年08月16日,满五年,无抵押,20251548293,商品房,普通住宅,共有,已上传房本照片
96.8万,12333,洲际银海湾,温江光华大道沿线,2室2厅1卫,平层,低楼层 (共32层)咨询楼层,暂无咨询套内面积,西,精装,有,78.49㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯五户,2025年04月16日,2019年03月04日,满五年,有抵押 15万元 公积金 业主自还,20251548347,商品房,普通住宅,共有,已上传房本照片
41.8万,4322,龙域都市兰亭,青白江青白江,3室2厅2卫,平层,中楼层 (共18层)咨询楼层,82.8㎡,东南,精装,有,96.73㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月16日,2012年12月20日,满五年,有抵押 农业银行 客户偿还,20251548246,商品房,普通住宅,共有,已上传房本照片
19万,2610,凤凰铭筑,青白江青白江,2室1厅1卫,平层,高楼层 (共6层)咨询楼层,暂无咨询套内面积,东南 西南,精装,,72.8㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月16日,2021年01月15日,满两年,无抵押,20251548087,商品房,普通住宅,共有,已上传房本照片
128万,11299,万达城闲山悦四区,都江堰都江堰,3室2厅2卫,平层,中楼层 (共11层)咨询楼层,暂无咨询套内面积,南,精装,有,113.29㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,二十梯四户,2025年04月16日,2020年01月01日,满五年,无抵押,20251549797,商品房,普通住宅,非共有,已上传房本照片
110万,17150,光明城市,天府新区华阳,2室1厅1卫,平层,中楼层 (共32层)咨询楼层,47.01㎡,西,其他,有,64.14㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯十二户,2025年04月16日,2015年10月28日,满五年,有抵押 成都银行  业主自还,20251551215,商品房,普通住宅,非共有,已上传房本照片
105万,12596,龙湖弗莱明戈一期,郫都区郫县城区,3室2厅1卫,平层,中楼层 (共34层)咨询楼层,暂无咨询套内面积,东南,其他,有,83.36㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,三梯八户,2025年04月16日,2014年08月21日,满五年,无抵押,20251547697,商品房,普通住宅,非共有,已上传房本照片
92万,10540,鉴山墅,都江堰都江堰,3室2厅1卫,平层,中楼层 (共14层)咨询楼层,暂无咨询套内面积,西,其他,有,87.29㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯六户,2025年04月15日,2025年01月01日,未满两年,无抵押,20251547269,商品房,普通住宅,非共有,已上传房本照片
50万,10009,四季映像,龙泉驿大面,2室1厅1卫,平层,低楼层 (共34层)咨询楼层,暂无咨询套内面积,东 东南,其他,有,49.96㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯九户,2025年04月15日,2024年10月29日,未满两年,有抵押 30 客户偿还,20251548284,商品房,普通住宅,共有,已上传房本照片
105万,11242,慧生时代广场,龙泉驿西河,3室2厅3卫,平层,中楼层 (共30层)咨询楼层,暂无咨询套内面积,南,精装,有,93.4㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯六户,2025年04月15日,2021年02月09日,满两年,有抵押 18万元 中国银行 业主自还,20251547119,商品房,普通住宅,共有,已上传房本照片
188万,14956,河畔新世界,天府新区锦江生态带,3室2厅2卫,平层,低楼层 (共30层)咨询楼层,100.62㎡,东南,精装,有,125.71㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯五户,2025年04月15日,2013年03月26日,满五年,无抵押,20251547294,商品房,普通住宅,非共有,已上传房本照片
148万,17605,龙城国际,郫都区橡树湾,3室1厅2卫,平层,高楼层 (共33层)咨询楼层,66.64㎡,北,精装,有,84.07㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯六户,2025年04月15日,2018年11月23日,满五年,有抵押 工商银行,20251548272,商品房,普通住宅,非共有,已上传房本照片
76.5万,7807,新桂华庭,新都新都城区,2室1厅1卫,平层,低楼层 (共5层)咨询楼层,88.73㎡,南,其他,有,98㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,一梯两户,2025年04月15日,2025年03月10日,未满两年,有抵押 50万元 邮政银行 客户偿还,20251552732,商品房,普通住宅,非共有,已上传房本照片
90万,14424,华润橡树湾B区,郫都区橡树湾,3室1厅1卫,平层,低楼层 (共34层)咨询楼层,暂无咨询套内面积,东南,简装,有,62.4㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月15日,2017年06月06日,满五年,无抵押,20251551730,商品房,普通住宅,非共有,已上传房本照片
42万,6991,书房新邨,龙泉驿龙泉驿城区,1室1厅1卫,平层,中楼层 (共6层)咨询楼层,暂无咨询套内面积,东,其他,,60.08㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月15日,2022年11月01日,满两年,无抵押,20251547105,商品房,普通住宅,共有,已上传房本照片
65万,5571,和裕印象,金堂金堂,4室2厅2卫,平层,低楼层 (共26层)咨询楼层,暂无咨询套内面积,南,精装,有,116.69㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月15日,2021年02月23日,满两年,有抵押,20251546999,商品房,普通住宅,共有,已上传房本照片
180万,21952,英祥财富领域,高新城南宜家,2室1厅1卫,平层,低楼层 (共31层)咨询楼层,暂无咨询套内面积,东,其他,有,82㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,四梯十一户,2025年04月15日,2019年04月01日,满五年,无抵押,20251546997,商品房,普通住宅,非共有,已上传房本照片
44万,8084,龙湖丽景A区,成华龙潭寺,1室1厅1卫,平层,中楼层 (共11层)咨询楼层,42.5㎡,西,其他,有,54.43㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,一梯两户,2025年04月15日,2025年04月14日,未满两年,暂无数据,20251547008,商品房,普通住宅,非共有,已上传房本照片
110万,18708,万科海悦汇城东区,天府新区海洋公园,2室1厅1卫,平层,低楼层 (共35层)咨询楼层,暂无咨询套内面积,东北,精装,有,58.8㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,四梯八户,2025年04月15日,2015年12月14日,满五年,无抵押,20251421135,商品房,普通住宅,共有,已上传房本照片
92万,8098,北大资源颐和雅郡,新津区五津,4室1厅2卫,平层,中楼层 (共14层)咨询楼层,暂无咨询套内面积,南,毛坯,有,113.61㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯五户,2025年04月15日,2020年03月20日,满五年,无抵押,20251547534,商品房,普通住宅,共有,已上传房本照片
232万,13867,麓山印象,天府新区海洋公园,4室2厅2卫,平层,中楼层 (共9层)咨询楼层,147.29㎡,南,毛坯,有,167.31㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯两户,2025年04月15日,2021年05月08日,满两年,无抵押,20251548038,商品房,普通住宅,非共有,已上传房本照片
35万,3497,玉树新村,新津区五津,2室2厅2卫,错层,高楼层 (共7层)咨询楼层,暂无咨询套内面积,南 北,其他,,100.1㎡,暂无数据,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月15日,2021年01月04日,满两年,有抵押 28万元,20251546823,商品房,普通住宅,非共有,已上传房本照片
162万,21734,中铁瑞城三号线,武侯新双楠,2室1厅1卫,平层,中楼层 (共11层)咨询楼层,74.54㎡,东南,精装,有,74.54㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月15日,2014年01月16日,满五年,无抵押,20251548339,商品房,普通住宅,非共有,已上传房本照片
76万,12035,长城嘉苑,武侯丽都,2室1厅1卫,平层,中楼层 (共6层)咨询楼层,暂无咨询套内面积,东南,简装,,63.15㎡,平房,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月15日,2015年02月01日,满五年,无抵押,20251547084,拆迁安置房,普通住宅,非共有,已上传房本照片
120万,10366,天府明珠,都江堰都江堰,3室1厅2卫,平层,低楼层 (共18层)咨询楼层,暂无咨询套内面积,东南,毛坯,,115.77㎡,暂无数据,暂无数据实际层高需现场测量，具体数据以实际测量为准,未知结构,暂无数据,2025年04月15日,2024年08月09日,未满两年,有抵押 30万元 业主自还,20251549264,商品房,普通住宅,非共有,已上传房本照片
242万,29168,瑞升望江橡树林三期,锦江三官堂,3室1厅1卫,平层,中楼层 (共39层)咨询楼层,暂无咨询套内面积,西,简装,有,82.97㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,四梯八户,2025年04月15日,2022年04月16日,满两年,无抵押,20251547631,商品房,普通住宅,非共有,已上传房本照片
73万,10284,南湖锦苑,天府新区南湖,2室1厅1卫,平层,高楼层 (共18层)咨询楼层,暂无咨询套内面积,南,毛坯,有,70.99㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯七户,2025年04月15日,2025年04月15日,未满两年,有抵押 30万元 业主自还,20251547236,拆迁安置房,普通住宅,共有,已上传房本照片
175万,12025,中建人居山水颐墅,都江堰都江堰,4室2厅2卫,平层,中楼层 (共8层)咨询楼层,暂无咨询套内面积,北,其他,,145.54㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月15日,2021年10月15日,满两年,无抵押,20251548604,商品房,普通住宅,共有,已上传房本照片
1050万,57772,誉峰二期,高新金融城,4室2厅3卫,平层,中楼层 (共30层)咨询楼层,暂无咨询套内面积,西北,精装,有,181.75㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯两户,2025年04月15日,2023年03月20日,满两年,无抵押,20251547462,商品房,普通住宅,非共有,已上传房本照片
62万,5507,岚颐公馆,新都新都城区,3室2厅2卫,平层,高楼层 (共6层)咨询楼层,暂无咨询套内面积,南,简装,,112.59㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,混合结构,暂无数据,2025年04月15日,2008年06月24日,满五年,无抵押,20251546476,商品房,普通住宅,共有,已上传房本照片
149万,11399,锦绣华都西区,双流东升镇,3室1厅2卫,平层,中楼层 (共13层)咨询楼层,130.72㎡,西南,其他,有,130.72㎡,塔楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月15日,2012年06月26日,满五年,有抵押 5万元 农业银行 业主自还,20251546717,商品房,普通住宅,非共有,已上传房本照片
115万,13711,金恒德时代金悦,温江温江新城,3室1厅1卫,平层,低楼层 (共31层)咨询楼层,暂无咨询套内面积,南,精装,有,83.88㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月15日,2020年07月29日,满两年,有抵押 27万元,20251546454,商品房,普通住宅,非共有,已上传房本照片
135.8万,13782,光华之心,温江花都大道,3室1厅2卫,平层,中楼层 (共32层)咨询楼层,暂无咨询套内面积,南,精装,有,98.54㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月15日,2019年04月10日,满五年,无抵押,20251547944,商品房,普通住宅,非共有,已上传房本照片
168万,14660,成都后花园三期,郫都区成外,4室2厅2卫,平层,中楼层 (共25层)咨询楼层,暂无咨询套内面积,东南,其他,有,114.6㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯六户,2025年04月15日,2025年04月15日,未满两年,暂无数据,20251546316,商品房,普通住宅,非共有,已上传房本照片
103.6万,12222,合能珍宝琥珀,温江光华大道沿线,3室2厅1卫,平层,低楼层 (共34层)咨询楼层,暂无咨询套内面积,东南,其他,有,84.77㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月15日,2018年10月25日,满五年,暂无数据,20251546251,商品房,普通住宅,共有,已上传房本照片
168.8万,14766,百悦天鹅湖,龙泉驿大面,3室2厅2卫,平层,中楼层 (共31层)咨询楼层,暂无咨询套内面积,西南,精装,有,114.32㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯六户,2025年04月15日,2019年09月02日,满五年,有抵押,20251549799,商品房,普通住宅,共有,已上传房本照片
105万,11510,九形道,新都大丰,3室1厅1卫,平层,高楼层 (共27层)咨询楼层,71.41㎡,东,精装,有,91.23㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,两梯五户,2025年04月15日,2013年09月05日,满五年,无抵押,20251546706,商品房,普通住宅,非共有,已上传房本照片
175万,16033,湟普国际,温江光华大道沿线,3室2厅2卫,平层,低楼层 (共26层)咨询楼层,暂无咨询套内面积,南,其他,有,109.15㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯五户,2025年04月15日,2021年06月21日,满两年,有抵押 100万元,20251546409,商品房,普通住宅,共有,已上传房本照片
116.8万,9270,东城1号,简阳河东新区,4室1厅2卫,平层,高楼层 (共32层)咨询楼层,110㎡,东南,其他,,126㎡,暂无数据,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,暂无数据,2025年04月15日,2025年04月15日,未满两年,暂无数据,20251546187,商品房,普通住宅,共有,已上传房本照片
590万,41398,中环岛,高新大源,3室2厅2卫,平层,中楼层 (共28层)咨询楼层,暂无咨询套内面积,东,其他,有,142.52㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯三户,2025年04月15日,2023年01月17日,满两年,有抵押,20251546262,商品房,普通住宅,非共有,已上传房本照片
72万,14575,丽景华庭一期,武侯外双楠,1室1厅1卫,平层,中楼层 (共12层)咨询楼层,暂无咨询套内面积,北,简装,有,49.4㎡,板楼,暂无数据实际层高需现场测量，具体数据以实际测量为准,框架结构,一梯六户,2025年04月15日,2013年04月01日,满五年,无抵押,20251546522,商品房,普通住宅,非共有,已上传房本照片
220万,22470,中洲里程,成华万年场,3室2厅2卫,平层,低楼层 (共34层)咨询楼层,暂无咨询套内面积,南,精装,有,97.91㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,三梯八户,2025年04月15日,2024年08月15日,未满两年,有抵押 150万元 光大 金融公司垫资,20251546971,商品房,普通住宅,非共有,已上传房本照片
145万,11243,恒大新城一期,温江光华大道沿线,3室1厅2卫,平层,中楼层 (共30层)咨询楼层,暂无咨询套内面积,东南,精装,有,128.97㎡,板塔结合,暂无数据实际层高需现场测量，具体数据以实际测量为准,钢混结构,两梯四户,2025年04月15日,2025年03月06日,未满两年,有抵押 80万元 成都农村商业银行股份有限公司,20251545951,商品房,普通住宅,非共有,已上传房本照片
